odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
00006-0102,2023,SEAMLESS_SUMMER_OPTION_MEALS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0102,WESTWOOD PRI,001-908,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,15,420,420,0,0,0,15,420,420,0,0,0,0,0,0,0,840,,,,,
00008-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00008,ANDREWS ISD,Educational Institution,Public,18,1,0101,DEVONIAN ELEM,002-901,ANDREWS,ANDREWS,2023-06-01T00:00:00.000,20,836,836,0,0,0,20,2056,2056,0,0,0,0,0,0,0,2892,,,,,
00011-0001,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0001,LUFKIN H S,003-903,ANGELINA,ANGELINA,2023-05-01T00:00:00.000,1,20,20,0,0,0,1,102,102,0,0,0,0,0,0,0,122,0,0,0,0,0
00011-0001,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0001,LUFKIN H S,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,17,1038,1038,0,0,0,17,4850,4850,0,0,0,0,0,0,0,5888,0,0,0,0,0
00011-0001,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0001,LUFKIN H S,003-903,ANGELINA,ANGELINA,2023-07-01T00:00:00.000,6,66,66,0,0,0,6,285,285,0,0,0,0,0,0,0,351,0,0,0,0,0
00011-0044,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0044,LUFKIN MIDDLE,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,7,45,45,0,0,0,12,225,225,0,0,0,0,0,0,0,270,0,0,0,0,0
00011-0122,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0122,BROOKHOLLOW EL,003-903,ANGELINA,ANGELINA,2023-05-01T00:00:00.000,1,31,31,0,0,0,1,76,76,0,0,0,0,0,0,0,107,0,0,0,0,0
00011-0122,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0122,BROOKHOLLOW EL,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,17,685,685,0,0,0,17,1318,1318,0,0,0,0,0,0,0,2003,0,0,0,0,0
00011-0122,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0122,BROOKHOLLOW EL,003-903,ANGELINA,ANGELINA,2023-07-01T00:00:00.000,6,154,154,0,0,0,6,301,301,0,0,0,0,0,0,0,455,0,0,0,0,0
00011-0127,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0127,HERTY PRI,003-903,ANGELINA,ANGELINA,2023-05-01T00:00:00.000,1,39,39,0,0,0,1,42,42,0,0,0,0,0,0,0,81,0,0,0,0,0
00011-0127,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0127,HERTY PRI,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,16,1504,1504,0,0,0,16,1621,1621,0,0,0,0,0,0,0,3125,0,0,0,0,0
00011-0127,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0127,HERTY PRI,003-903,ANGELINA,ANGELINA,2023-07-01T00:00:00.000,2,73,73,0,0,0,2,82,82,0,0,0,0,0,0,0,155,0,0,0,0,0
00011-0129,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0129,SLACK EL,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,10,815,815,0,0,0,10,894,894,0,0,0,0,0,0,0,1709,0,0,0,0,0
00011-0130,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0130,TROUT PRI,003-903,ANGELINA,ANGELINA,2023-05-01T00:00:00.000,1,52,52,0,0,0,1,84,84,0,0,0,0,0,0,0,136,0,0,0,0,0
00011-0130,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0130,TROUT PRI,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,17,998,998,0,0,0,17,1476,1476,0,0,0,0,0,0,0,2474,0,0,0,0,0
00011-0130,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0130,TROUT PRI,003-903,ANGELINA,ANGELINA,2023-07-01T00:00:00.000,6,294,294,0,0,0,6,426,426,0,0,0,0,0,0,0,720,0,0,0,0,0
00011-1206,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1206,FIRST METHODIST CHURCH,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,16,419,419,0,0,0,16,460,460,0,0,0,0,0,0,0,879,0,0,0,0,0
00011-1207,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1207,First Christian Church,003-903,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,12,601,601,0,0,0,12,642,642,0,0,0,0,0,0,0,1243,0,0,0,0,0
00011-1207,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1207,First Christian Church,003-903,ANGELINA,ANGELINA,2023-07-01T00:00:00.000,5,255,255,0,0,0,5,248,248,0,0,0,0,0,0,0,503,0,0,0,0,0
00013-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0001,DIBOLL H S,003-905,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,16,548,548,0,0,0,16,699,699,0,0,0,0,0,0,0,1247,,,,,
00013-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0101,TEMPLE EL,003-905,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,16,1175,1175,0,0,0,16,1836,1836,0,0,0,0,0,0,0,3011,,,,,
00013-0105,2023,SEAMLESS_SUMMER_OPTION_MEALS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0105,Diboll Family Literacy/Even Start,003-905,ANGELINA,ANGELINA,2023-06-01T00:00:00.000,12,1050,1050,0,0,0,12,1005,1005,0,0,0,0,0,0,0,2055,,,,,
00013-0111,2023,SEAMLESS_SUMMER_OPTION_MEALS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0111,TLL Temple Memorial Library,003-905,ANGELINA,ANGELINA,2023-07-01T00:00:00.000,0,0,0,0,0,0,7,497,497,0,0,0,0,0,0,0,497,,,,,
00016-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00016,Rockport-Fulton ISD,Educational Institution,Public,2,5,0041,ROCKPORT-FULTON MIDDLE SCHOOL,004-901,ARANSAS,ARANSAS,2023-06-01T00:00:00.000,16,1382,1382,0,0,0,16,1269,1269,0,0,0,0,0,0,0,2651,,,,,
00016-0103,2023,SEAMLESS_SUMMER_OPTION_MEALS,00016,Rockport-Fulton ISD,Educational Institution,Public,2,5,0103,LIVEOAK EL,004-901,ARANSAS,ARANSAS,2023-06-01T00:00:00.000,16,1674,1674,0,0,0,16,2515,2515,0,0,0,0,0,0,0,4189,,,,,
00016-0107,2023,SEAMLESS_SUMMER_OPTION_MEALS,00016,Rockport-Fulton ISD,Educational Institution,Public,2,5,0107,Rockport-Fulton Middle School Closed Enrolled,004-901,ARANSAS,ARANSAS,2023-06-01T00:00:00.000,0,0,0,0,0,0,2,40,40,0,0,0,0,0,0,0,40,,,,,
00021-0104,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,0104,Charlotte Main Cafeteria,007-901,ATASCOSA,ATASCOSA,2023-05-01T00:00:00.000,2,125,125,0,0,0,2,128,128,0,0,0,0,0,0,0,253,0,0,0,0,0
00021-0104,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,0104,Charlotte Main Cafeteria,007-901,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,22,967,967,0,0,0,22,1074,1074,0,0,0,0,0,0,0,2041,0,0,0,0,0
00022-0102,2023,SEAMLESS_SUMMER_OPTION_MEALS,00022,JOURDANTON ISD,Educational Institution,Public,20,4,0102,JOURDANTON ECC,007-902,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,17,615,615,0,0,0,17,902,902,0,0,0,0,0,0,0,1517,,,,,
00023-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00023,LYTLE ISD,Educational Institution,Public,20,4,0001,LYTLE H S,007-904,ATASCOSA,ATASCOSA,2023-05-01T00:00:00.000,3,3,3,0,0,0,3,4,4,0,0,0,0,0,0,0,7,,,,,
00023-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00023,LYTLE ISD,Educational Institution,Public,20,4,0001,LYTLE H S,007-904,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,22,357,357,0,0,0,22,1006,1006,0,0,0,0,0,0,0,1363,,,,,
00023-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00023,LYTLE ISD,Educational Institution,Public,20,4,0101,LYTLE EL,007-904,ATASCOSA,ATASCOSA,2023-05-01T00:00:00.000,3,111,111,0,0,0,3,165,165,0,0,0,0,0,0,0,276,,,,,
00023-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00023,LYTLE ISD,Educational Institution,Public,20,4,0101,LYTLE EL,007-904,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,22,2336,2336,0,0,0,22,4378,4378,0,0,0,0,0,0,0,6714,,,,,
00024-0001,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,0001,PLEASANTON H S,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,17,766,780,0,0,0,17,1489,1514,0,0,0,0,0,0,0,2294,14,0,25,0,0
00024-0041,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,0041,PLEASANTON J H,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,17,1105,1126,0,0,0,17,2638,2685,0,0,0,0,0,0,0,3811,21,0,47,0,0
00024-0103,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,0103,PLEASANTON EL,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,17,3247,3305,0,0,0,17,4766,4852,0,0,0,0,0,0,0,8157,58,0,86,0,0
00024-0105,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,0105,PLEASANTON PRIMARY,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,17,1676,1706,0,0,0,17,1793,1825,0,0,0,0,0,0,0,3531,30,0,32,0,0
00024-1202,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1202,PLEASANTON HS FOOTBALL STADIUM,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,1,50,50,0,0,0,2,134,134,0,0,0,4,177,177,0,361,0,0,0,0,0
00024-1206,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1206,PAC GYM,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,1,146,146,0,146,0,0,0,0,0
00024-1210,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1210,Pleasanton First Baptist Church,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,1,180,180,0,0,0,4,720,720,0,900,0,0,0,0,0
00024-1211,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1211,St. Andrews Catholic Church,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,5,328,328,0,328,0,0,0,0,0
00024-1212,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1212,First United Methodist Church,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,4,165,165,0,0,0,4,170,170,0,0,0,0,0,0,0,335,0,0,0,0,0
00024-1213,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1213,Pleasanton City Pool,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,13,547,547,0,0,0,0,0,0,0,547,0,0,0,0,0
00024-1217,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1217,Pleasanton Baseball Sports Complex,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,3,93,93,0,93,0,0,0,0,0
00024-1218,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1218,Pleasanton River Park,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,2,65,65,0,0,0,0,0,0,0,65,0,0,0,0,0
00024-1239,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,1239,Pleasanton Longhorn Museum,007-905,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,0,0,0,0,0,0,1,15,15,0,0,0,0,0,0,0,15,0,0,0,0,0
00025-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00025,POTEET ISD,Educational Institution,Public,20,4,0001,POTEET H S,007-906,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,12,688,688,0,0,0,12,1426,1426,0,0,0,0,0,0,0,2114,,,,,
00025-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00025,POTEET ISD,Educational Institution,Public,20,4,0101,POTEET ELEMENTARY,007-906,ATASCOSA,ATASCOSA,2023-06-01T00:00:00.000,4,84,84,0,0,0,4,188,188,0,0,0,0,0,0,0,272,,,,,
00027-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00027,SEALY ISD,Educational Institution,Public,6,3,0001,SEALY H S,008-902,AUSTIN,AUSTIN,2023-06-01T00:00:00.000,8,65,65,0,0,0,8,57,57,0,0,0,0,0,0,0,122,,,,,
00027-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00027,SEALY ISD,Educational Institution,Public,6,3,0041,SEALY J H,008-902,AUSTIN,AUSTIN,2023-06-01T00:00:00.000,8,132,132,0,0,0,8,147,147,0,0,0,0,0,0,0,279,,,,,
00027-0102,2023,SEAMLESS_SUMMER_OPTION_MEALS,00027,SEALY ISD,Educational Institution,Public,6,3,0102,SELMAN EL,008-902,AUSTIN,AUSTIN,2023-06-01T00:00:00.000,13,955,955,0,0,0,13,1200,1200,0,0,0,0,0,0,0,2155,,,,,
00028-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00028,BRAZOS ISD,Educational Institution,Public,6,3,0001,BRAZOS H S,008-903,AUSTIN,AUSTIN,2023-06-01T00:00:00.000,16,404,404,0,0,0,16,487,487,0,0,0,0,0,0,0,891,,,,,
00029-0001,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0001,MULESHOE H S,009-901,BAILEY,BAILEY,2023-06-01T00:00:00.000,10,575,576,0,0,0,10,982,982,0,0,0,0,0,0,0,1558,1,0,0,0,0
00029-0101,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0101,MARY DESHAZO EL,009-901,BAILEY,BAILEY,2023-06-01T00:00:00.000,10,730,730,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0
00029-0103,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0103,DILLMAN EL,009-901,BAILEY,BAILEY,2023-05-01T00:00:00.000,2,59,59,0,0,0,2,59,59,0,0,0,0,0,0,0,118,0,0,0,0,0
00029-0103,2023,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0103,DILLMAN EL,009-901,BAILEY,BAILEY,2023-06-01T00:00:00.000,20,948,948,0,0,0,20,1442,1448,0,0,0,0,0,0,0,2396,0,0,6,0,0
00031-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00031,BANDERA ISD,Educational Institution,Public,20,4,0041,BANDERA MIDDLE,010-902,BANDERA,BANDERA,2023-06-01T00:00:00.000,9,203,203,0,0,0,8,440,440,0,0,0,0,0,0,0,643,,,,,
00031-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00031,BANDERA ISD,Educational Institution,Public,20,4,0101,ALKEK EL,010-902,BANDERA,BANDERA,2023-06-01T00:00:00.000,20,1156,1156,0,0,0,20,1650,1650,0,0,0,0,0,0,0,2806,,,,,
00031-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00031,BANDERA ISD,Educational Institution,Public,20,4,0101,ALKEK EL,010-902,BANDERA,BANDERA,2023-07-01T00:00:00.000,18,997,997,0,0,0,18,1534,1534,0,0,0,0,0,0,0,2531,,,,,
00031-0102,2023,SEAMLESS_SUMMER_OPTION_MEALS,00031,BANDERA ISD,Educational Institution,Public,20,4,0102,HILL COUNTRY EL,010-902,BANDERA,BANDERA,2023-06-01T00:00:00.000,20,515,515,0,0,0,20,717,717,0,0,0,0,0,0,0,1232,,,,,
00031-0102,2023,SEAMLESS_SUMMER_OPTION_MEALS,00031,BANDERA ISD,Educational Institution,Public,20,4,0102,HILL COUNTRY EL,010-902,BANDERA,BANDERA,2023-07-01T00:00:00.000,18,376,376,0,0,0,17,564,564,0,0,0,0,0,0,0,940,,,,,
00032-0002,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0002,CEDAR CREEK HIGH SCHOOL,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,16,228,228,0,0,0,16,268,268,0,0,0,0,0,0,0,496,,,,,
00032-0005,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0005,COLORADO RIVER COLLEGIATE ACADEMY,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,16,214,214,0,0,0,16,370,370,0,0,0,0,0,0,0,584,,,,,
00032-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0041,BASTROP MIDDLE,011-901,BASTROP,BASTROP,2023-05-01T00:00:00.000,2,10,10,0,0,0,2,21,21,0,0,0,0,0,0,0,31,,,,,
00032-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0041,BASTROP MIDDLE,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,17,476,476,0,0,0,17,2105,2105,0,0,0,0,0,0,0,2581,,,,,
00032-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0041,BASTROP MIDDLE,011-901,BASTROP,BASTROP,2023-07-01T00:00:00.000,2,6,6,0,0,0,2,6,6,0,0,0,0,0,0,0,12,,,,,
00032-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0101,EMILE ELEMENTARY,011-901,BASTROP,BASTROP,2023-05-01T00:00:00.000,2,45,45,0,0,0,2,90,90,0,0,0,0,0,0,0,135,,,,,
00032-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0101,EMILE ELEMENTARY,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,22,2003,2003,0,0,0,22,3423,3423,0,0,0,0,0,0,0,5426,,,,,
00032-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0101,EMILE ELEMENTARY,011-901,BASTROP,BASTROP,2023-07-01T00:00:00.000,19,405,405,0,0,0,19,629,629,0,0,0,0,0,0,0,1034,,,,,
00032-0103,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0103,CEDAR CREEK ELEMENTARY,011-901,BASTROP,BASTROP,2023-05-01T00:00:00.000,2,53,53,0,0,0,2,66,66,0,0,0,0,0,0,0,119,,,,,
00032-0103,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0103,CEDAR CREEK ELEMENTARY,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,22,2597,2597,0,0,0,22,3542,3542,0,0,0,0,0,0,0,6139,,,,,
00032-0103,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0103,CEDAR CREEK ELEMENTARY,011-901,BASTROP,BASTROP,2023-07-01T00:00:00.000,18,296,296,0,0,0,18,304,304,0,0,0,0,0,0,0,600,,,,,
00032-0106,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0106,CEDAR CREEK MIDDLE SCHOOL,011-901,BASTROP,BASTROP,2023-05-01T00:00:00.000,2,15,15,0,0,0,2,31,31,0,0,0,0,0,0,0,46,,,,,
00032-0106,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0106,CEDAR CREEK MIDDLE SCHOOL,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,17,267,267,0,0,0,17,1528,1528,0,0,0,0,0,0,0,1795,,,,,
00032-0106,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0106,CEDAR CREEK MIDDLE SCHOOL,011-901,BASTROP,BASTROP,2023-07-01T00:00:00.000,4,4,4,0,0,0,4,71,71,0,0,0,0,0,0,0,75,,,,,
00032-0109,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0109,BLUEBONNET ELEMENTARY SCHOOL,011-901,BASTROP,BASTROP,2023-05-01T00:00:00.000,2,18,18,0,0,0,2,39,39,0,0,0,0,0,0,0,57,,,,,
00082-0028,2023,SEAMLESS_SUMMER_OPTION_MEALS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0028,CAST MED HS,015-907,BEXAR,BEXAR,2023-06-01T00:00:00.000,19,400,400,0,0,0,19,515,515,0,0,0,0,0,0,0,915,,,,,
00032-0109,2023,SEAMLESS_SUMMER_OPTION_MEALS,00032,BASTROP ISD,Educational Institution,Public,13,4,0109,BLUEBONNET ELEMENTARY SCHOOL,011-901,BASTROP,BASTROP,2023-06-01T00:00:00.000,22,326,326,0,0,0,22,598,598,0,0,0,0,0,0,0,924,,,,,
