dataset_id,title,description,created_at,updated_at,rows_updated_at,permalink,matched_query_terms,had_sample_fetch,sample_fetch_error,columns_present,has_mealservicetype,has_ruralorurbancode,has_sitetype,already_known_nc_source
2waq-tuwm,2023 Total Summer Meals and Snacks Served,"Sum of breakfast, lunch, supper and snacks served by SFSP & SSO in program period 2023.",2023-06-06T16:13:52.000Z,2023-06-06T16:17:52.000Z,,https://data.texas.gov/d/2waq-tuwm,"""Summer Meal Programs""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
32b9-xz9p,School Nutrition Program - Site Map - 2025-2026,"<b><a href=https://form.jotform.com/210556567409057 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for School Nutrition Data</a></b><p>

<b>About the Dataset</b><br>
This dataset contains <b>contact information and program participation information for all School Nutrition Program (SNP) meal sites approved by TDA to operate during the 2025-2026 program year.</b>  Contracting Entities (CE) or sites they sponsor may cancel or terminate participation",2025-09-04T19:03:53.000Z,2026-05-16T13:45:31.000Z,,https://data.texas.gov/d/32b9-xz9p,"""2025-2026"", ""All Summer Sites"", ""Contact and Program Participation"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
32g8-t2ri,2022 SFSP &SSO Approved Summer Sites,"Count of sites approved to operate May 20, 2022 or later as a summer meal site. SSO sites approved to operate during the 2021-2022 school year in response to pandemic disruption to service are not included. May include sites that have cancelled participation after initial approval. Site count is based on Site Start Date.",2023-06-20T20:00:45.000Z,2023-09-13T13:54:52.000Z,,https://data.texas.gov/d/32g8-t2ri,"""Summer Sites""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
3369-uxbk,School Nutrition Programs - Contact Information and Site-Level Program Participation - Program Year 2020-2021,"<b><a href=https://form.jotform.com/210556567409057 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for School Nutrition Data</a></b><p>

<b>About the Dataset</b><br>
In March 2020, USDA began allowing flexibility in nutrition assistance program policies in order to support continued meal access should the coronavirus pandemic (COVID-19) impact meal service operation. Flexibilities were extended into the 2020-2021 program year and allowed School Nu",2020-08-18T20:38:12.000Z,2023-11-21T14:29:13.000Z,,https://data.texas.gov/d/3369-uxbk,"""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, reporttype, operationstartdate, operationenddate",False,False,False,False
36xq-2n6m,2025-2026 Monthly CACFP Day Care Home Meals & Snacks Served,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This data set contains claims information for <b> meal reimbursement for CACFP participating as Day Care Homes for the program year 2025-2026.</b> The CACFP program year begins October 1 and ends September 30. <p>


<b> This dataset only includes claims submit",2025-11-22T16:31:11.000Z,2026-05-15T14:15:18.000Z,,https://data.texas.gov/d/36xq-2n6m,"""2025-2026"", ""All Summer Sites"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
38xr-8xxu,School Nutrition Programs - Contact Information and Site-Level Program Participation - Program Year 2023-2024,"<b><a href=https://form.jotform.com/210556567409057 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for School Nutrition Data</a></b><p>

<b>About the Dataset</b><br>
This dataset contains <b>contact information and program participation information for all School Nutrition Program (SNP) meal sites approved by TDA to operate during the 2023-2024 program year.</b>  Contracting Entities (CE) or sites they sponsor may cancel or terminate participation",2023-07-06T13:23:01.000Z,2025-01-03T16:21:58.000Z,,https://data.texas.gov/d/38xr-8xxu,"""2023-2024"", ""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, reporttype, operationstartdate, operationenddate",False,False,False,False
398q-jvsm,CACFP Day Care Homes - Site Map - 2024-2025,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This dataset contains <b>contact and program participation information for Day Care Home (DCH) providers approved to operate under the Child and Adult Care Food Program (CACFP) during program year 2024-2025.</b> Contracting Entity (CE) sponsors can participate",2024-08-12T14:29:41.000Z,2026-04-01T19:59:03.000Z,,https://data.texas.gov/d/398q-jvsm,"""2024-2025"", ""All Summer Sites"", ""Contact and Program Participation"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
3a7h-247a,Summer Meal Programs - Site Map - Summer 2024,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b>
<p>

<b>About the Dataset</b><br>
This dataset contains <b>contact and program participation information for summer meal sites approved by TDA to operate summer 2024.</b> Changes in participant information can occur through August. Unless otherwise noted, summer meal programs operate mid-May  through August. Unde",2024-03-19T18:03:28.000Z,2024-12-06T14:00:19.000Z,,https://data.texas.gov/d/3a7h-247a,"""All Summer Sites"", ""Contact and Program Participation"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
3hpz-ajxk,Summer Meal Programs - Seamless Summer Option (SSO) - Contacts and Program Participation - Program Period 2019,"<b>About the Dataset</b><br>
This dataset contains <b>contact and program participation information for each site participating in the Seamless Summer Option (SSO) for summer 2019 (SNP program year 2018-2019).</b> The active application period for summer program participants runs January through April. <b>Changes in participant information can occur through August.</b>  Summer meals programs operate mid-May through the end of August. <p>

<b>New Data Fields Available!</b><br>
CE and site status ",2019-04-09T20:36:51.000Z,2020-07-22T18:57:55.000Z,,https://data.texas.gov/d/3hpz-ajxk,"""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, reporttype, sitetype, breakfasttime, lunchtime",False,False,True,False
3m3y-swtq,Child and Adult Care Food Programs (CACFP) –Child Centers – Meal Reimbursement – Program Year 2024 - 2025,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This data set contains claims information for <b>meal reimbursement for sites participating in CACFP as child centers for the program year 2024-2025. This includes Child Care Centers, At-Risk centers, Head Start sites, Outside School Hours sites, and Emergency",2024-12-26T20:31:45.000Z,2026-04-01T19:39:09.000Z,,https://data.texas.gov/d/3m3y-swtq,"""2024-2025"", ""All Summer Sites"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, program",False,False,False,False
3mj7-4ebx,Summer Meal Programs – Seamless Summer Option (SSO) – Contacts and Program Participation – Program Period 2017,"<b>About the Dataset</b><br>
This data set contains <b>contact and program participation information for each site participating in the Seamless Summer Option (SSO) for summer 2017 (SNP program year 2016-2017).</b> Summer meal programs operate mid-May through the end of August. <p>

For data on sites participating in the Summer Food Service Program (SFSP), please refer to the Summer Meal Programs – Summer Food Service Program (SFSP) – Contact and Program Participation datasets available on the S",2019-01-08T17:11:04.000Z,2020-06-26T16:56:01.000Z,,https://data.texas.gov/d/3mj7-4ebx,"""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, reporttype, sitetype, breakfasttime, lunchtime",False,False,True,False
3nha-vdcj,Summer Food Service Program (SFSP) and Seamless Summer Option (SSO) - Meal Count Information - Program Period 2017,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b><p>



<b>About the Dataset</b><br>
This dataset combines basic meals served data from the Summer Food Service Program (SFSP) and Seamless Summer Option (SSO) Meal Count datasets currently published on the Texas Open Data Portal for the 2017 summer meal program season.<p> 

An overview of <b>all Summer Meal Progra",2023-05-16T13:23:11.000Z,2023-05-16T14:37:15.000Z,,https://data.texas.gov/d/3nha-vdcj,"""All Summer Sites"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, program",False,False,False,False
3qgy-p3sr,School Nutrition Programs - Contact Information and Site-Level Program Participation - Program Year 2025-2026,"<b><a href=https://form.jotform.com/210556567409057 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for School Nutrition Data</a></b><p>

<b>About the Dataset</b><br>
This dataset contains <b>contact information and program participation information for all School Nutrition Program (SNP) meal sites approved by TDA to operate during the 2025-2026 program year.</b>  Contracting Entities (CE) or sites they sponsor may cancel or terminate participation",2025-08-27T15:41:03.000Z,2026-05-16T13:45:31.000Z,,https://data.texas.gov/d/3qgy-p3sr,"""2025-2026"", ""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, reporttype, operationstartdate, operationenddate",False,False,False,False
3qrv-yppp,2025-2026 Approved CACFP Day Care Home CEs,Count of Contracting Entities (CEs) approved to sponsor CACFP day care home providers for 2025-2026. May include CEs that cancelled participation after initial approval. CE count is based on CE's Application Effective Date for program year.,2025-09-28T17:16:56.000Z,2025-09-28T19:38:16.000Z,,https://data.texas.gov/d/3qrv-yppp,"""2025-2026""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
3s2b-mhwx,"CSFP Contracts, PY19-PY25","<b>This dataset includes the latest raw contract data submitted by sponsors to TDA for participation in the Commodity Supplemental Food Program (CSFP) for program years 2018-2019 (PY19) to 2024-2025 (PY25).  </b>

Food Distribution Programs (FDP) reported on the Texas Open Data Portal include The Emergency Food Assistance Program (TEFAP), the Commodity Supplemental Food Program (CSFP), the Farmers Market Nutrition Program (FMNP), and Senior Farmers Market Nutrition Program (SFMNP). 

This datase",2026-02-23T17:48:56.000Z,2026-03-10T13:37:06.000Z,,https://data.texas.gov/d/3s2b-mhwx,"""2024-2025"", ""Summer Meal Programs""",True,,"ceid, programyear",False,False,False,False
3sma-rzdr,Summer Meal Programs – Summer Food Service Program (SFSP) – Meal Count Information – Program Period 2016,"<b>About the Agency</b><br>
The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs and the Child and Adult Care Food Program (CACFP). TDA’s Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilitie",2018-12-10T15:25:28.000Z,2021-10-22T13:37:22.000Z,,https://data.texas.gov/d/3sma-rzdr,"""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites"", ""rural""",True,,"ceid, siteid, programyear, reporttype, ruralorurbancode",False,True,False,False
3uiu-i2ry,2024 Total Summer SSO Meals and Snacks Served,"Sum of breakfast, lunch, supper and snacks served by SSO May 2024-August 2024.",2024-05-24T13:03:26.000Z,2024-06-10T14:43:53.000Z,,https://data.texas.gov/d/3uiu-i2ry,"""Summer Meal Programs""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
3xdf-siqr,2020-2021 Monthly CACFP Day Care Home Meals & Snacks Served,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This data set contains claims information for <b> meal reimbursement for CACFP participating as Day Care Homes for program year 2020-2021.</b> The CACFP program year begins October 1 and ends September 30. <p>

In March 2020, USDA began allowing flexibility in",2023-11-21T17:52:50.000Z,2023-11-21T17:53:01.000Z,,https://data.texas.gov/d/3xdf-siqr,"""All Summer Sites"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
464k-6uwc,School Nutrition Programs – Meal Reimbursement Information – Program Year 2017-2018,"<b>About the Agency</b><br>
The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs and the Child and Adult Care Food Program (CACFP). TDA’s Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilitie",2018-12-05T22:07:08.000Z,2023-08-17T16:04:25.000Z,,https://data.texas.gov/d/464k-6uwc,"""Meal Service Type""",True,,"ceid, siteid, programyear, reporttype",False,False,False,False
48hw-yzuj,2025 SSO Contacts,This is a filtered view of the 2025 All Summer Sites and includes only sites that have been approved to operate Seamless Summer Option (SSO) for 2025.,2025-04-23T13:48:45.000Z,2026-02-06T19:45:49.000Z,,https://data.texas.gov/d/48hw-yzuj,"""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, reporttype, program, sitetype, mealtypesserved, operationstartdate, operationenddate, breakfasttime, lunchtime",False,False,True,False
4a4v-7hrp,2016 SFSP & SSO Approved Sites,Count of sites approved to operate Summer Food Service Program (SFSP) or Seamless Summer Option (SSO) for 2016. May include sites that have cancelled participation after initial approval. Site count is based on Site Start Date.,2023-05-19T16:57:41.000Z,2023-09-13T13:46:45.000Z,,https://data.texas.gov/d/4a4v-7hrp,"""Summer Sites""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
4axx-sfpm,Summer Meal Programs - All Summer Sites - Meal Count - Program Period 2024,"This data is intended for reporting purposes only. <br>
<b>Please visit <a href=https://squaremeals.org/Programs/Summer-Meal-Programs/Summer-Meal-Site-Map target=""_blank"">SummerFood.org</a> or text FOOD to 304-304 to find an open summer meal sites near you. <b/><p>


<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b><p>


<b>About the Dataset</b><br>
This dataset",2024-05-24T12:35:42.000Z,2025-02-13T16:46:37.000Z,,https://data.texas.gov/d/4axx-sfpm,"""All Summer Sites"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, program",False,False,False,False
4dcq-wcfi,2018-2019 Monthly CACFP Day Care Home Meals & Snacks Served,"<b>About the Dataset</b><br>
This data set contains claims information for <b> meal reimbursement for CACFP participating as Day Care Homes for program year 2018-2019.</b> The CACFP program year begins October 1 and ends September 30. <p>

<b> This dataset only includes claims submitted by CACFP sites participating as Day Care Homes.</b> Sites can participate in multiple CACFP sub-programs. For reimbursement data on CACFP participants operating as Day Care Homes, Child Care Centers, At-Risk Chil",2023-09-12T19:53:23.000Z,2023-09-12T19:53:32.000Z,,https://data.texas.gov/d/4dcq-wcfi,"""All Summer Sites"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
4dqt-ym3c,2024-2025 CACFP Day Care Home Sponsor List,CEs approved to sponsor CACFP Day Care Homes in the 2024-2025 program year.,2024-08-12T14:04:06.000Z,2026-04-01T19:59:03.000Z,,https://data.texas.gov/d/4dqt-ym3c,"""2024-2025""",True,,"ceid, programyear, reporttype",False,False,False,False
4fzk-wp8c,School Nutrition Programs - Procurement Review with Findings- Program Year 2023 - 2024,"<b>About the Dataset</b><br>
This dataset contains: <b>
A list of School Food Authorities (SFAs) that had findings as a result of their most recent Procurement Review with TDA, including: </b>
<li>List of findings </li>
<li>Type of Findings </li>
<li>Corresponding administrative review question </li>
This report can be found on SquareMeals <a href=""https://www.squaremeals.org/Programs/National-School-Lunch-Program/Compliance"">Compliance for NSLP </a> for the current program year and will be post",2025-01-23T22:16:43.000Z,2025-01-23T22:26:32.000Z,,https://data.texas.gov/d/4fzk-wp8c,"""2023-2024""",True,,"ceid, programyear",False,False,False,False
4hdk-w2vh,PY24 All Summer Sites Sponsor List,"All 2024 Summer Meal Program Sponsor Contacts. CE and sites that have cancelled participation after their initial approval for the program year may be included.

OperationStartDate is based on CEs operation start date. CEs sponsoring SSO sites will typically have an OperationStartDate at the beginning of their 2023-2024 school year as SSO is considered an extension of school meal programming.",2024-03-19T16:29:12.000Z,2025-04-23T13:34:12.000Z,,https://data.texas.gov/d/4hdk-w2vh,"""2023-2024"", ""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, programyear, reporttype, program, operationstartdate, operationenddate",False,False,False,False
4hvk-h3j6,2023 Monthly SFSP & SSO Summer Meals and Snacks,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b><p>


<b>About the Dataset</b><br>
This dataset contains  <b>site-level meal counts from approved TDA claims for Seamless Summer Option (SSO) and Summer Food Service Program (SFSP) in summer 2023.</b> Summer meal programs typically operate mid-May through August unless otherwise noted. Participants have 60 days fr",2023-06-06T16:24:25.000Z,2024-05-24T13:22:29.000Z,,https://data.texas.gov/d/4hvk-h3j6,"""All Summer Sites"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
4mnk-5zuq,2016-2017 Monthly CACFP Child Center Meals Served,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This data set contains claims information for <b>meal reimbursement for sites participating in CACFP as child centers for the program year 2016-2017. This includes Child Care Centers, At-Risk centers, Head Start sites, Outside School Hours sites, and Emergency",2023-06-26T19:30:33.000Z,2023-06-26T19:33:51.000Z,,https://data.texas.gov/d/4mnk-5zuq,"""All Summer Sites"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
4tpe-vtdp,2025 Approved Summer Meal Program CEs,Count of CEs approved to operate Summer Food Service Program (SFSP) or Seamless Summer Option (SSO) for 2025. May include CEs that have cancelled participation after initial approval. CE count is based on Operational Start Date.,2025-06-17T18:49:17.000Z,2025-06-17T19:01:58.000Z,,https://data.texas.gov/d/4tpe-vtdp,"""Summer Meal Programs""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
4xc8-jct9,2024-2025 School Nutrition Program Meals and Snacks Served,"Total breakfast, lunches, and snacks served through School Nutrition Programs for program year 2024-2025. Meal counts are based on approved claims submitted for meal reimbursement. CEs have 60 days to submit a claim.",2024-08-21T20:26:46.000Z,2024-08-21T20:39:43.000Z,,https://data.texas.gov/d/4xc8-jct9,"""2024-2025""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
4z3r-huup,2023 SFSP & SSO Approved Sites,Count of sites approved to operate Summer Food Service Program (SFSP) or Seamless Summer Option (SSO) for 2023. May include sites that have cancelled participation after initial approval. Site count is based on Site Start Date.,2023-04-20T18:51:44.000Z,2024-06-20T17:57:41.000Z,,https://data.texas.gov/d/4z3r-huup,"""Summer Sites""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
4zvx-6dyc,2026 Approved Summer Meal Program CEs,Count of CEs approved to operate Summer Food Service Program (SFSP) or Seamless Summer Option (SSO) for 2026. May include CEs that have cancelled participation after initial approval. CE count is based on Operational Start Date.,2026-05-07T18:04:51.000Z,2026-05-07T18:13:25.000Z,,https://data.texas.gov/d/4zvx-6dyc,"""Summer Meal Programs""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
52en-tt82,TDA Data Overview - Summer Meal Programs,Overview of summer meal program data available from Texas Department of Agriculture,2019-02-01T21:27:14.000Z,2026-05-07T18:14:30.319Z,,https://data.texas.gov/stories/s/52en-tt82,"""Summer Meal Programs"", ""Summer Sites""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
5537-dd6a,"SNP CE Applications, PY19-PY25","<b>This dataset includes raw data from the latest sponsor-level application approved by TDA for participation in the School Nutrition Programs (SNP) for program years 2018-2019 (PY19) to 2024-2025 (PY25).  </b>

School Nutrition Programs include National School Lunch Program (NSLP), School Breakfast Program (SBP), Special Milk Program (SMP), and After School Care Program (ASCP - snacks). 

This dataset is part of a collection of<b><a href=https://data.texas.gov/stories/en/s/7ke6-qib4 target=""_bl",2026-02-17T19:58:37.000Z,2026-03-26T12:48:28.000Z,,https://data.texas.gov/d/5537-dd6a,"""2024-2025"", ""All Summer Sites"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, programyear, reporttype, program, operationstartdate, operationenddate",False,False,False,False
