dataset_id,column_name,category,sample_value,null_pct
temp-7qi5,childnutdiremail,contact,lsvoboda@sealyisd.com,0.0
temp-7qi5,childnutdirphone,contact,9798853516,0.0
temp-7qi5,seamlesssummercontactfirstname,contact,Annette,0.0
temp-7qi5,seamlesssummercontactlastname,contact,Strayer,0.0
temp-7qi5,seamlesssummercontacttit,contact,Food Service Supervisor,0.0
temp-7qi5,seamlesssummercontactemail,contact,ASTRAYER@SEALYISD.COM,0.0
temp-7qi5,seamlesssummercontactphone,contact,9799873300,0.0
temp-7qi5,sitetype,site type,Closed,0.0
temp-7qi5,sitestartdate,dates,2021-08-18T00:00:00.000,0.0
temp-7qi5,siteenddate,dates,2021-09-30T00:00:00.000,0.0
temp-7qi5,daysofoperation,dates,"M,T,W,TH,F",0.0
temp-7qi5,mealtypesserved,meal service type,"Breakfast, Lunch",0.0
temp-7qi5,breakfasttime,unknown,7:30 AM - 9:00 AM,0.8
temp-7qi5,breakfastdaysserved,unknown,"M, T, W, TH, F",0.8
temp-7qi5,lunchtime,unknown,10:30 AM - 1:30 PM,0.61
temp-7qi5,lunchdaysserved,unknown,"M, T, W, TH, F",0.61
temp-7qi5,geoloc_data,unknown,"{'type': 'Point', 'coordinates': [-96.159451, 29.772894]}",9.88
temp-7qi5,computed_region_59h5_km5p,unknown,92,9.94
temp-7qi5,computed_region_de3d_j5mj,unknown,16,9.94
temp-7qi5,computed_region_5xir_5pdr,unknown,18,9.88
temp-7qi5,computed_region_45pq_umjc,unknown,13,9.98
temp-7qi5,computed_region_czj8_xg26,unknown,10,9.88
temp-7qi5,seamlesssummercontactsal,contact,Mrs.,34.21
temp-7qi5,cestreetaddressline2,address,P. O. Box 2129,95.55
temp-7qi5,siteterminationstatus,unknown,Self Cancelled,94.93
temp-7qi5,siteterminatedasofdate,dates,2021-05-27T00:00:00.000,94.93
temp-7qi5,suppertime,unknown,4:00 PM - 4:30 PM,99.93
temp-7qi5,supperdaysserved,unknown,"M, T, W, TH",99.93
temp-7qi5,sitestreetaddressline2,address,PO Box218,95.13
temp-7qi5,cemailingaddressline2,address,Suite # 100,95.15
temp-7qi5,pmsnacktime,unknown,3:00 PM - 3:30 PM,99.79
temp-7qi5,pmsnackdaysserved,unknown,"M, T, W, TH",99.79
temp-7qi5,amsnacktime,unknown,9:00 AM - 9:30 AM,99.97
temp-7qi5,amsnackdaysserved,unknown,"M, T, W, TH",99.97
temp-7qi5,ceterminationstatus,unknown,Self Cancelled,99.98
temp-7qi5,ceterminatedasofdate,dates,2021-06-30T00:00:00.000,99.98
