odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00980-0101,2022-2023,SSOCONTACTS,00980,CENTER ISD,Educational Institution,Public,7,3,Active,RENEWAL,0101,CENTER EL,Active,RENEWAL,210-901,SHELBY,SHELBY,107 PR 605,CENTER,TX,75935-3864,P O BOX 1689,CENTER,TX,75935-3864,621 ROUGHRIDER DR,CENTER,TX,75935-3894,Dr.,Brian,Morris,Superintendent,brian.morris@centerisd.org,9365985642,Mrs.,Lesa,Robertson,CE Representative,lesa.robertson@centerisd.org,9365981599,Mrs.,LESA,ROBERTSON,CE REPRESENTATIVE,lesa.robertson@centerisd.org,9365981599,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:15 AM - 12:15 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.199593959, 31.799342009]}",11,195,16,1,3,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00732-0102,2022-2023,SSOCONTACTS,00732,CLEVELAND ISD,Educational Institution,Public,4,3,Active,RENEWAL,0102,NORTHSIDE ELEMENTARY,Active,RENEWAL,146-901,LIBERTY,LIBERTY,316 EAST DALLAS STREET,CLEVELAND,TX,77327-4550,326 FM 1010 Rd,CLEVELAND,TX,77327-4550,1522 N. Blair Street,Cleveland,TX,77327,Mr.,Stephen,McCanless,SUPERINTENDENT,smccanless@clevelandisd.org,2815928717,Mrs.,Lacy,Willey,Child Nutrition Director,lacy.willey@clevelandisd.org,2815928752,,Lacy,Willey,Child Nutrition Director,lacy.willey@clevelandisd.org,2815922618,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.083667988, 30.357188001]}",18,57,16,36,3,8:00 AM - 9:00 AM,"M, T, W, TH, F",Central Office - Child Nutrition,Service Center - Child Nutrition,,,,,,,,,,,
01020-0086,2022-2023,SSOCONTACTS,01020,FORT WORTH ISD,Educational Institution,Public,11,2,Active,RENEWAL,0086,TARRANT CO COLLEGE SOUTH COLLEGIATE HS,Active,RENEWAL,220-905,TARRANT,TARRANT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,5301 CAMPUS DRIVE,FORT WORTH,TX,76119,Ms.,Angelica,Ramsey,SUPERINTENDENT,karen.molinar@fwisd.org,8178141900,Ms.,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143512,,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143500,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:00 PM - 1:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.288441033, 32.66896702]}",95,190,16,33,10,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00571-0006,2022-2023,SSOCONTACTS,00571,PHARR-SAN JUAN-ALAMO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0006,ELVIS J BALLEW,Active,RENEWAL,108-909,HIDALGO,HIDALGO,601 E KELLY,PHARR,TX,78577-1615,P O BOX 1150,PHARR,TX,78577-1615,1100 East Business 83,Pharr,TX,78577,Dr.,Alejandro,Elias,SUPERINTENDENT,dr.elias@psjaisd.us,9563542009,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Open,2023-06-05T00:00:00.000,2023-08-18T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.138786032, 26.186194018]}",40,134,16,34,27,7:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00899-0001,2022-2023,SSOCONTACTS,00899,WEATHERFORD ISD,Educational Institution,Public,11,2,Active,RENEWAL,0001,WEATHERFORD H S,Active,RENEWAL,184-903,PARKER,PARKER,999 Sloan Street,WEATHERFORD,TX,76086-5603,1100 LONGHORN DR,WEATHERFORD,TX,76086-5095,2121 Bethel Road,Weatherford,TX,76086,Dr.,Beau,Rees,SUPERINTENDENT,brees@weatherfordisd.com,8175982800,Mrs.,Sheree,Satcher,Child Nutrition Director,ssatcher@weatherfordisd.com,8175982991,Mrs.,Sheree,Satcher,Child Nutrition Director,ssatcher@weatherfordisd.com,8175982991,Closed,2023-06-12T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:20 AM - 11:50 AM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.806696397, 32.729019192]}",60,167,16,12,30,7:45 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01122-1224,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1224,THE IMAGINARIUM OF SOUTH TEXAS,Active,NEWAPP,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,5300 San Dario Ste. 510,Laredo,TX,78041,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Ms.,Nora,Murillo,Executive Director,nmurillo@imaginariumstx.org,9567280404,Open,2023-06-05T00:00:00.000,2023-07-14T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.501029029, 27.551249982]}",42,220,16,28,21,8:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00467-0001,2022-2023,SSOCONTACTS,00467,SILSBEE ISD,Educational Institution,Public,5,3,Active,RENEWAL,0001,SILSBEE H S,Active,RENEWAL,100-904,HARDIN,HARDIN,415 HWY 327 W,SILSBEE,TX,77656-4711,415 HWY 327 W,Silsbee,TX,77656-4711,1575 HWY 96 N,Silsbee,TX,77656,Dr.,Gregg,Weiss,SUPERINTENDENT,gregg.weiss@silsbeeisd.org,4099807800,Mrs.,Tricia,Brooks,Director of Business and Finance,tricia.brooks@silsbeeisd.org,4099807809,Mrs.,Tricia,Brooks,Director of Business and Finance,tricia.brooks@silsbeeisd.org,4099807809,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.153677977, 30.34403998]}",18,158,16,36,3,7:15 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00047-0143,2022-2023,SSOCONTACTS,00047,KILLEEN ISD,Educational Institution,Public,12,2,Active,RENEWAL,0143,Killeen Elementary,Active,RENEWAL,014-906,BELL,BELL,200 N W S YOUNG DRIVE,KILLEEN,TX,76543-4025,P O BOX 967,KILLEEN,TX,76540-0967,1608 E. Rancier Ave,Killeen,TX,76541,Dr.,John,Craft,SUPERINTENDENT,john.craft@killeenisd.org,2543360003,Mr.,Steve,Smith,Director,Steve.Smith@KilleenISD.org,2543360775,,Rachael,Hunter,Coordinator,Rachael.Hunter@KilleenISD.org,2543360775,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 11:30 AM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.714596017, 31.121484004]}",54,120,16,11,24,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00080-0113,2022-2023,SSOCONTACTS,00080,EDGEWOOD ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0113,ROOSEVELT ELEMENTARY SCHOOL,Active,RENEWAL,015-905,BEXAR,BEXAR,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,3823 FORTUNA CT,SAN ANTONIO,TX,78237-1359,Mr.,Elvis,Williams,Assistant Superintendent of Operations,elvis.williams@eisd.net,2108982000,Ms.,Roxanne,Ruiz,Child Nutrition Director,Roxanne.Ruiz@eisd.net,2108984037,Ms.,Vanessa,Trujillo,CN Manager,vanessa.trujillo@eisd.net,2108984180,Open,2023-06-08T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.562534991, 29.437124007]}",125,44,16,20,26,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01182-1225,2022-2023,SSOCONTACTS,01182,ZAPATA COUNTY I.S.D.,Educational Institution,Public,1,5,Active,RENEWAL,1225,Lopeno Community Center,Active,RENEWAL,253-901,ZAPATA,ZAPATA,1302 Glenn St.,ZAPATA,TX,78076-0158,P O BOX 158,ZAPATA,TX,78076-0158,105 4th Street,Lopeno,TX,78564,Mr.,Rogelio,Gonzalez,Superintendent of Schools,rgonzalez@zcisd.org,9567656546,Mrs.,Lesvia,Cuellar,Child Nutrition Director,lcuellar@zcisd.org,9567656546,Ms.,Lesvia,Cuellar,Child Nutrition Director,lcuellar@zcisd.org,9567656546,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,11:00 AM - 11:20 AM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.108567271, 26.71363683]}",31,185,16,28,21,,,,,,,,,,,,,,,
00466-0101,2022-2023,SSOCONTACTS,00466,KOUNTZE ISD,Educational Institution,Public,5,3,Active,RENEWAL,0101,KOUNTZE EL,Active,RENEWAL,100-903,HARDIN,HARDIN,160 W VAUGHN ST,KOUNTZE,TX,77625-0460,P O BOX 460,KOUNTZE,TX,77625-0460,565 PARK ST,Kountze,TX,77625,Dr.,Shane,Reyenga,SUPERINTENDENT,sreyenga@kountzeisd.org,4092463352,Mrs.,Elizabeth,Jordan,FOOD SERVICE DIRECTOR,ljordan@kountzeisd.org,4092463877,,Elizabeth,Jordan,Food Service Director,ljordan@kountzeisd.org,4092463877,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.310451052, 30.365000024]}",18,158,16,36,3,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00525-0113,2022-2023,SSOCONTACTS,00525,KLEIN ISD,Educational Institution,Public,4,3,Active,RENEWAL,0113,KRAHN EL,Active,RENEWAL,101-915,HARRIS,HARRIS,7200 Spring Cypress Road,KLEIN,TX,77379,7200 Spring Cypress Road,KLEIN,TX,77379,9502 EDAY,KLEIN,TX,77379-4315,Mr.,Doug,Massey,Executive Director of Facilities and School Services,dmassey@kleinisd.net,8322494603,Mrs.,Tiffany,Muecke,Director of Nutrition & Food Services,tmuecke1@kleinisd.net,8322494610,Mrs.,Tiffany,Muecke,Director,tmuecke1@kleinisd.net,8322494610,Open,2023-06-05T00:00:00.000,2023-06-15T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.559651961, 30.013771998]}",126,121,16,38,7,8:00 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
04581-0023,2022-2023,SSOCONTACTS,04581,"INTERNATIONAL LEADERSHIP OF TEXAS, INC.",Educational Institution,Charter,10,2,Active,RENEWAL,0023,ILTEXAS - SAGINAW EL,Active,RENEWAL,057-848,DALLAS,TARRANT,2021 Lakeside Boulevard,Richardson,TX,75082-1901,2021 Lakeside Boulevard,Richardson,TX,75082-1901,500 Old Decatur Rd,Saginaw,TX,76179,Mr.,Edward,Conger,Superintendent,econger@iltexas.org,9724799048,Mr.,Larry,Albritton,Executive Director of Child Nutrition,Lalbritton@iltexas.org,9724799078,,Veronica,Mendez,ASSISTANT DIRECTOR OF CN,Vmendez@ILTEXAS.ORG,9724799078,Open,2023-05-24T00:00:00.000,2023-06-24T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.390655398, 32.862437952]}",99,190,16,12,9,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00351-0105,2022-2023,SSOCONTACTS,00351,CANUTILLO ISD,Educational Institution,Public,19,1,Active,RENEWAL,0105,GONZALO & SOFIA GARCIA EL SCHOOL,Active,RENEWAL,071-907,EL PASO,EL PASO,7965 ARTCRAFT,EL PASO,TX,79835-7965,P O BOX 100,CANUTILLO,TX,79835-0100,6550 Westside Dr.,EL PASO,TX,79932,Dr.,Pedro,Galaviz,SUPERINTENDENT,pgalviz@canutillo-isd.org,9158777444,Mr.,Marco,Macias,Food Service Director,mamacias@canutillo-isd.org,9158777451,,Marco,Macias,Child Nutrition Director,mamacias@canutillo-isd.org,9158777451,Open,2023-06-05T00:00:00.000,2023-06-15T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-106.624296991, 31.89433198]}",78,205,16,16,29,7:00 AM - 9:00 AM,"M, T, W, TH",na,na,,,,,,,,,,,
00145-0001,2022-2023,SSOCONTACTS,00145,CALHOUN CO ISD,Educational Institution,Public,3,3,Active,RENEWAL,0001,CALHOUN H S,Active,RENEWAL,029-901,CALHOUN,CALHOUN,525 N COMMERCE ST,PORT LAVACA,TX,77979-3034,525 N COMMERCE ST,PORT LAVACA,TX,77979-3034,201 SANDCRAB BLVD,PORT LAVACA,TX,77979-2489,Mr.,Evan,Cardwell,Superintendent,cardwelle@calcoisd.org,3615529728,Mrs.,Robin,Martinez,CCISD Cheif Financial Officer,martinezr@calcoisd.org,3615529728,,Maggie,Knight,Child Nutrition Secretary,knightm@calcoisd.org,3615525356,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:45 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.642267963, 28.621167987]}",43,98,16,27,18,7:30 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00151-0007,2022-2023,SSOCONTACTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,Active,RENEWAL,0007,LOPEZ H S,Active,RENEWAL,031-901,CAMERON,CAMERON,1900 East Price Road,Brownsville,TX,78521-2417,1900 East Price Road,Brownsville,TX,78521-2417,3205 South Dakota Ave.,Brownsville,TX,78521-6212,Dr.,Rene,Gutierrez,Superintendent,rene.gutierrez@bisd.us,9565488000,Ms.,Jackie,Cruz,FNS Director,jcruz2@bisd.us,9565488450,Ms.,Joaquina,Cruz,Director of Child Nutrition,jcruz2@bisd.us,9565488450,Open,2023-06-05T00:00:00.000,2023-08-04T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.422047983, 25.882272998]}",38,144,16,34,27,8:45 AM - 9:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
